TRAIN_PAWS_QQP_id	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	labels1	labels2	Ground Label
192	479155	"b""Why do we feel like we should break something when we are angry , but hug and kiss when we 're happy ?"""	"b""Why do we feel like we should break something when we 're angry , but hug and kiss when we are happy ?"""	 're happy 	 are happy 	O O O O O O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O O O O O O B E O	1
194	283400	b'Which type of relationship is less than friendship and more than love ?'	b'Which type of relationship is more than friendship and less than love ?'	 is less than 	 is more than 	O O O O B I E O O O O O O	O O O O B I E O O O O O O	0
194	507097	b'Which type of relationship is less than friendship and more than love ?'	b'Which type of relationship is more than friendship and less than love ?'	 less than 	 is more than 	O O O O O B E O O O O O O	O O O O B I E O O O O O O	0
204	136503	b'If you had a chance to become someone else who would you be and why ?'	b'If you had a chance to be someone else who would you become and why ?'	 someone else 	 someone 	O O O O O O O B E O O O O O O O	O O O O O O O S O O O O O O O O	1
207	234688	b'I think abolishing these very much necessary reservations for SCs/STs in all the leading fields is really high at this point of the epoch . Am I right ?'	b'I think abolishing these really high reservations for SCs/STs in all the leading fields is very much necessary at this point of the epoch . Am I right ?'	 very much 	 much 	O O O O B E O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O S O O O O O O O O O O O O	0
207	240113	b'I think abolishing these very much necessary reservations for SCs/STs in all the leading fields is really high at this point of the epoch . Am I right ?'	b'I think abolishing these really high reservations for SCs/STs in all the leading fields is very much necessary at this point of the epoch . Am I right ?'	 very much 	 much 	O O O O B E O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O S O O O O O O O O O O O O	0
207	408259	b'I think abolishing these very much necessary reservations for SCs/STs in all the leading fields is really high at this point of the epoch . Am I right ?'	b'I think abolishing these really high reservations for SCs/STs in all the leading fields is very much necessary at this point of the epoch . Am I right ?'	 very much 	 much 	O O O O B E O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O S O O O O O O O O O O O O	0
249	354622	b'Is sexual dimorphism enough to conclude that gender equality is impossible ?'	b'Is sexual dimorphism enough to conclude that gender equality is impossible ?'	 gender equality 	 equality 	O O O O O O O B E O O O	O O O O O O O O S O O O	1
249	537727	b'Is sexual dimorphism enough to conclude that gender equality is impossible ?'	b'Is sexual dimorphism enough to conclude that gender equality is impossible ?'	 gender equality 	 equality 	O O O O O O O B E O O O	O O O O O O O O S O O O	1
250	33960	b'How do I lose the weight even though I love the food I eat ?'	b'How do I lose the weight even though I eat the food I love ?'	 even though 	 though 	O O O O O O B E O O O O O O O	O O O O O O O S O O O O O O O	0
250	223380	b'How do I lose the weight even though I love the food I eat ?'	b'How do I lose the weight even though I eat the food I love ?'	 even though 	 even 	O O O O O O B E O O O O O O O	O O O O O O S O O O O O O O O	0
255	234683	b'If I am earning $ 12k per month from starting in just 1 year after blogging , what optimum steps should I take right now for future ?'	b'If I am earning $ 12k per month from blogging in just 1 year after starting , what optimum steps should I take right now for future ?'	 per month 	 month 	O O O O O O B E O O O O O O O O O O O O O O O O O O O O	O O O O O O O S O O O O O O O O O O O O O O O O O O O O	0
255	415647	b'If I am earning $ 12k per month from starting in just 1 year after blogging , what optimum steps should I take right now for future ?'	b'If I am earning $ 12k per month from blogging in just 1 year after starting , what optimum steps should I take right now for future ?'	 right now 	 right 	O O O O O O O O O O O O O O O O O O O O O O O B E O O O	O O O O O O O O O O O O O O O O O O O O O O O S O O O O	0
314	84905	"b""Why ca n't countries afford China 's high quality products , but insist to buy low quality Chinese products which Chinese themselves do not want to buy ?"""	"b""Why ca n't countries afford China 's low quality products , but insist to buy high quality Chinese products which Chinese themselves do not want to buy ?"""	 high quality 	 quality 	O O O O O O O B E O O O O O O O O O O O O O O O O O O O	O O O O O O O O S O O O O O O O O O O O O O O O O O O O	0
314	129607	"b""Why ca n't countries afford China 's high quality products , but insist to buy low quality Chinese products which Chinese themselves do not want to buy ?"""	"b""Why ca n't countries afford China 's low quality products , but insist to buy high quality Chinese products which Chinese themselves do not want to buy ?"""	 high quality 	 quality 	O O O O O O O B E O O O O O O O O O O O O O O O O O O O	O O O O O O O O S O O O O O O O O O O O O O O O O O O O	0
317	57006	"b""If Pakistan does controlled a large part of Kashmir called Azad Kashmir , then why do they keep asking for the remaining part of it which is in India ? Why does India has n't ask for returning of Pakistani controlled instead ?"""	"b""If Pakistan has controlled a large part of Kashmir called Azad Kashmir , then why do they keep asking for the remaining part of it which is in India ? Why does India does n't ask for returning of Pakistani controlled instead ?"""	 then why 	 why 	O O O O O O O O O O O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O S O O O O O O O O O O O O O O O O O O O O O O O O O O O O	1
318	194412	"b""Suppose a technology exists as in the movie Inception ; is it wrong to live most of our life in dream if it 's not possible to experience the same in reality ?"""	"b""Suppose a technology exists as in the movie Inception ; is it possible to live most of our life in dream , if it 's not wrong to experience the same in reality ?"""	 's not 	 not 	O O O O O O O O O O O O O O O O O O O O O O O B E O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O S O O O O O O O O	0
322	85749	"b""Which is the world 's poorest country and richest country ?"""	"b""Which is the world 's richest country and poorest country ?"""	 the world 's 	 the world 	O O B I E O O O O O O	O O B E O O O O O O O	1
322	259307	"b""Which is the world 's poorest country and richest country ?"""	"b""Which is the world 's richest country and poorest country ?"""	 world 's 	 world 	O O O B E O O O O O O	O O O S O O O O O O O	1
333	34364	b'Which Bollywood movie has a well crafted , very effective and brilliant climax scene ?'	b'Which Bollywood movie has a very effective , well crafted and brilliant climax scene ?'	 very effective 	 effective 	O O O O O O O O B E O O O O O	O O O O O O S O O O O O O O O	1
336	109355	b'Physically , I am 17 years old . Mentally , I feel that I behave like a 10 year old . What should I do to mature ?'	b'Mentally , I am 17 years old . Physically , I feel that I behave like a 10 year old . What should I do to mature ?'	 years old 	 old 	O O O O O B E O O O O O O O O O O O O O O O O O O O O O	O O O O O O S O O O O O O O O O O O O O O O O O O O O O	0
401	439303	"b""Why ca n't I fall asleep in a dark room ? I also do n't really get tired enough until I missed out on all sleep ."""	"b""Why ca n't I fall asleep in a dark room ? I really do n't also get tired enough until I miss out on all sleep ."""	 fall asleep 	 asleep 	O O O O B E O O O O O O O O O O O O O O O O O O O O O	O O O O O S O O O O O O O O O O O O O O O O O O O O O	1
407	198376	b'How do I link my MyBoy ! Emulator to advanced boy visual ? Is it even possible ?'	b'How do I link my MyBoy ! Emulator to visual boy advanced ? Is it even possible ?'	 even possible 	 possible 	O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O O S O	0
408	439797	"b""Does a man 's face look different immediately after shaving a long-shaving beard than it does when he 's been standing daily ?"""	"b""Does a man 's face look different immediately after shaving a long-standing beard than it does when he 's been shaving daily ?"""	 man 's 	 man 	O O B E O O O O O O O O O O O O O O O O O O O	O O S O O O O O O O O O O O O O O O O O O O O	0
474	108066	b'I love a girl . I am North Indian and she is South Indian . She is a little bit conservative . What should I do to impress her ?'	b'I am a boy . I love South Indian and she is North Indian . She is a little bit conservative . What should I do to impress her ?'	 is a little bit 	 is a little 	O O O O O O O O O O O B O O O O O I I E O O O O O O O O O O	O O O O O O O O O O O B O O O O O I E O O O O O O O O O O O	0
474	187175	b'I love a girl . I am North Indian and she is South Indian . She is a little bit conservative . What should I do to impress her ?'	b'I am a boy . I love South Indian and she is North Indian . She is a little bit conservative . What should I do to impress her ?'	 is a little 	 is a little bit 	O O O O O O O O O O O B O O O O O I E O O O O O O O O O O O	O O O O O O O O O O O B O O O O O I I E O O O O O O O O O O	0
474	313663	b'I love a girl . I am North Indian and she is South Indian . She is a little bit conservative . What should I do to impress her ?'	b'I am a boy . I love South Indian and she is North Indian . She is a little bit conservative . What should I do to impress her ?'	 a little bit 	 a little 	O O B O O O O O O O O O O O O O O O I E O O O O O O O O O O	O O B O O O O O O O O O O O O O O O E O O O O O O O O O O O	0
480	125565	b'Why does every question I ask need to be improved even when all the guidelines are met ?'	"b""`` Why does every question I ask `` need to be improved `` even when all the guidelines are met ? ''"""	 even when 	 when 	O O O O O O O O O O B E O O O O O O	O O O O O O O O O O O O O O S O O O O O O O	1
493	44326	b'What are the most common traffic convictions in Arkansas , and how does the severity of the convictions differ in Vermont ?'	b'What are the most common traffic convictions in Vermont , and how does the severity of the convictions differ in Arkansas ?'	 most common 	 common 	O O O B E O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O	0
503	33208	b'For large scale , precision 3D animations , what is the importance level ranked least to most important regarding hardware components ?'	b'For large scale , precision 3D animations , what is the importance level ranked most to least important regarding hardware components ?'	 most important 	 important 	O O O O O O O O O O O O O O O O B E O O O O	O O O O O O O O O O O O O O O O O S O O O O	0
506	100124	b'Do movies irritate you when you have to sit through the full credits to get to a very short post credit scene ?'	b'Do movies irritate you when you have to sit through the short credits to get to a very full post credit scene ?'	 very short 	 short 	O O O O O O O O O O O O O O O O O B E O O O O	O O O O O O O O O O O S O O O O O O O O O O O	0
542	242374	"b""White lines on my iPhone 5s have appeared and I ca n't tap there . I took it to a shop to fix it , but the lines appeared again . What 's going on ?"""	"b""White lines on my iPhone 5s have appeared and I ca n't tap again . I took it to a shop to fix it , but the lines appeared there . What 's going on ?"""	 's going on 	 going on 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	0
542	325695	"b""White lines on my iPhone 5s have appeared and I ca n't tap there . I took it to a shop to fix it , but the lines appeared again . What 's going on ?"""	"b""White lines on my iPhone 5s have appeared and I ca n't tap again . I took it to a shop to fix it , but the lines appeared there . What 's going on ?"""	 's going on 	 going on 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	0
542	325698	"b""White lines on my iPhone 5s have appeared and I ca n't tap there . I took it to a shop to fix it , but the lines appeared again . What 's going on ?"""	"b""White lines on my iPhone 5s have appeared and I ca n't tap again . I took it to a shop to fix it , but the lines appeared there . What 's going on ?"""	 's going on 	 going on 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	0
542	325699	"b""White lines on my iPhone 5s have appeared and I ca n't tap there . I took it to a shop to fix it , but the lines appeared again . What 's going on ?"""	"b""White lines on my iPhone 5s have appeared and I ca n't tap again . I took it to a shop to fix it , but the lines appeared there . What 's going on ?"""	 's going on 	 going on 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	0
542	575446	"b""White lines on my iPhone 5s have appeared and I ca n't tap there . I took it to a shop to fix it , but the lines appeared again . What 's going on ?"""	"b""White lines on my iPhone 5s have appeared and I ca n't tap again . I took it to a shop to fix it , but the lines appeared there . What 's going on ?"""	 going on 	 's going on 	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I E O	0
550	109355	"b""I m 19 years old and my eyesight is-5 .5 and I want to join Indian Army . And I 'm in 2nd year of my B.com . Can I join Indian army ?"""	"b""I 'm 19 years old and my eyesight is-5 .5 and I want to join Indian Army . And I m in 2nd year of my B.com . Can I join Indian army ?"""	 years old 	 old 	O O O B E O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	O O O O S O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	1
556	322477	"b""How do you know if you 're using your subconscious mind or your subconscious ? And how do you properly communicate with your conscious mind ?"""	"b""How do you know if you 're using your conscious mind or your subconscious ? And how do you properly communicate with your subconscious mind ?"""	 you 're 	 you 	O O B O O O E O O O O O O O O O O O O O O O O O O O	O O S O O O O O O O O O O O O O O O O O O O O O O O	0
598	386552	b'Is there any combined hostel or paying guest accommodation available for both boys and girls in Bangalore like Chennai ?'	b'Is there any combined hostel or paying guest accommodation available for both boys and girls in Chennai like Bangalore ?'	 both boys and 	 boys and 	O O O O O O O O O O O B I E O O O O O O	O O O O O O O O O O O O B E O O O O O O	0
615	354039	"b""Apps like Facebook and Messenger keep restarting even after I force to stop them . I 've tried Greenify and it also did n't work . I 'm on a non rooted phone . How can I force the apps to stop restarting ?"""	"b""Apps like Facebook and Messenger stop restarting even after I force to keep them . I 've tried Greenify and it also did n't work . I 'm on a non rooted phone . How can I force the apps to stop restarting ?"""	 did n't work 	 did n't 	O O O O O O O O O O O O O O O O O O O O O O B I E O O O O O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O O O B E O O O O O O O O O O O O O O O O O O O O	0
617	526060	"b""What would Modi 's reply be if Obama asks him to join the fight against ISIS ?"""	"b""What would Obama 's reply be if Modi asks him to join the fight against ISIS ?"""	 fight against 	 fight 	O O O O O O O O O O O O O B E O O	O O O O O O O O O O O O O S O O O	0
629	57006	b'INDIA : When the caste discrimination is based on social status , then why reservation should be based upon economic status ?'	b'INDIA : When the caste discrimination is based on social status , then why reservation should be based upon economic status ?'	 then why 	 why 	O O O O O O O O O O O O B E O O O O O O O O	O O O O O O O O O O O O O S O O O O O O O O	1
636	574033	b'What is the Arizona bark scorpion , and how do animal species in the Arabian Desert compare to species in the Sonoran Desert ?'	b'What is the Arizona bark scorpion , and how do animal species in the Sonoran Desert compare to species in the Arabian Desert ?'	 animal species 	 species 	O O O O O O O O O O B E O O O O O O O O O O O O	O O O O O O O O O O O S O O O O O O O O O O O O	0
649	296972	b'What do you think of a very good looking woman who is married to an average looking man who is not rich ?'	b'What do you think of a very rich woman who is married to an average looking man who is not good looking ?'	 very good 	 good 	O O O O O O B E O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O S O O	0
649	519079	b'What do you think of a very good looking woman who is married to an average looking man who is not rich ?'	b'What do you think of a very rich woman who is married to an average looking man who is not good looking ?'	 very good 	 good 	O O O O O O B E O O O O O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O S O O	0
658	428280	"b""`` What was the relationship between Julian Assange and Jimmy Wales ? Why is Assange `` most wanted `` and Jimmy Wales is not ? ''"""	b'What was the relationship between Julian Assange and Jimmy Wales ? Why is Assange most wanted and Jimmy Wales is not ?'	 most wanted 	 wanted 	O O O O O O O O O O O O O O O O B E O O O O O O O O	O O O O O O O O O O O O O O O S O O O O O O	1
690	209058	"b""What are the major flaws of Hillary Clinton 's and Donald Trump 's foreign policy agendas ?"""	"b""What are the major flaws of Donald Trump 's and Hillary Clinton 's foreign policy agendas ?"""	 's foreign policy 	 foreign policy 	O O O O O O O O B O O O O I E O O	O O O O O O O O O O O O O B E O O	1
694	114076	b'What are the different kinds of deposits in bank ? If I can make 5000 rs every month how can I save most benefit out of it ?'	b'What are the different kinds of deposits in bank ? If I can save 5000 rs every month how can I make most benefit out of it ?'	 different kinds of 	 kinds of 	O O O B I E O O O O O O O O O O O O O O O O O O O O O O	O O O O B E O O O O O O O O O O O O O O O O O O O O O O	0
694	145593	b'What are the different kinds of deposits in bank ? If I can make 5000 rs every month how can I save most benefit out of it ?'	b'What are the different kinds of deposits in bank ? If I can save 5000 rs every month how can I make most benefit out of it ?'	 kinds of 	 different kinds of 	O O O O B E O O O O O O O O O O O O O O O O O O O O O O	O O O B I E O O O O O O O O O O O O O O O O O O O O O O	0
701	323794	"b""What should I say to a girl , whom I 'm trying to propose , when she says she is not interested in relationship ?"""	"b""What should I propose to a girl , whom I 'm trying to say , when she says she is not interested in relationship ?"""	 'm trying to 	 trying to 	O O O O O O O O O O B I E O O O O O O O O O O O O	O O O O O O O O O O O B E O O O O O O O O O O O O	0
701	431362	"b""What should I say to a girl , whom I 'm trying to propose , when she says she is not interested in relationship ?"""	"b""What should I propose to a girl , whom I 'm trying to say , when she says she is not interested in relationship ?"""	 'm trying to 	 trying to 	O O O O O O O O O O B I E O O O O O O O O O O O O	O O O O O O O O O O O B E O O O O O O O O O O O O	0
701	431363	"b""What should I say to a girl , whom I 'm trying to propose , when she says she is not interested in relationship ?"""	"b""What should I propose to a girl , whom I 'm trying to say , when she says she is not interested in relationship ?"""	 'm trying to 	 trying to 	O O O O O O O O O O B I E O O O O O O O O O O O O	O O O O O O O O O O O B E O O O O O O O O O O O O	0
701	535986	"b""What should I say to a girl , whom I 'm trying to propose , when she says she is not interested in relationship ?"""	"b""What should I propose to a girl , whom I 'm trying to say , when she says she is not interested in relationship ?"""	 trying to 	 'm trying to 	O O O O O O O O O O O B E O O O O O O O O O O O O	O O O O O O O O O O B I E O O O O O O O O O O O O	0
716	260472	b'Can India become a high superpower and electronic-income country to reduce birth and death rates ?'	b'Can India become a electronic superpower and high-income country to reduce birth and death rates ?'	 death rates 	 death 	O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O S O O	0
747	69718	b'Is the Tonight Show with Johnny Carson more popular now then when Jimmy Fallon was hosting ?'	b'Is the Tonight Show with Jimmy Fallon more popular now then when Johnny Carson was hosting ?'	 now then 	 then 	O O O O O O O O O B E O O O O O O	O O O O O O O O O O S O O O O O O	0
747	321083	b'Is the Tonight Show with Johnny Carson more popular now then when Jimmy Fallon was hosting ?'	b'Is the Tonight Show with Jimmy Fallon more popular now then when Johnny Carson was hosting ?'	 then when 	 when 	O O O O O O O O O O B E O O O O O	O O O O O O O O O O O S O O O O O	0
786	431972	b'Hyderabad , India : Do people from other parts of the country actually pay heed and know why there is a protest in Andhra Pradesh over the division ?'	b'Andhra Pradesh , India : Do people from other parts of the country actually pay heed and know why there is a protest in Hyderabad over the division ?'	 know why 	 why 	O O O O O O O O O O O O O O O O B E O O O O O O O O O O O	O O O O O O O O O O O O O O O O O O S O O O O O O O O O O	0
830	244468	b'Hi.. all I am b.e . graduate I have 2 yrs work experience in Logistics can I eligible to write customs house agent exam ?'	b'Hi.. all I am eligible . graduate I have 2 yrs work experience in Logistics can I b.e to write customs house agent exam ?'	 work experience 	 experience 	O O O O O O O O O O O B E O O O O O O O O O O O O	O O O O O O O O O O O O S O O O O O O O O O O O O	0
831	350671	b'Why were black people more evil in recent history than white people ?'	b'Why were white people more evil in recent history than black people ?'	 white people 	 white 	O O O O O O O O O O B E O	O O S O O O O O O O O O O	0
844	145644	b'What if I train about 200 LBP cascades of objects and will try to do real time object detection on camera using OpenCV . Will it work fast on CPU only ?'	b'What if I train about 200 LBP cascades of objects and will try to do real time object detection on camera using OpenCV . Will it work only on CPU fast ?'	 work fast 	 fast 	O O O O O O O O O O O O O O O O O O O O O O O O O O B E O O O O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S O	1
897	415647	b'I am depressed and unhappy right now . When I become happy ( and I will ) , will my current depression matter then ?'	b'I am happy right now . When I become depressed and unhappy ( and I will ) , will my current depression matter then ?'	 right now 	 right 	O O O O O B E O O O O O O O O O O O O O O O O O O	O O O S O O O O O O O O O O O O O O O O O O O O O	0
902	63233	"b""What vitamins or minerals will help to get brittle nails ? They 're currently very strong and peel off ."""	"b""What vitamins or minerals will help to get strong nails ? They 're currently very brittle and peel off ."""	 very strong 	 strong 	O O O O O O O O O O O O O O B E O O O O	O O O O O O O O S O O O O O O O O O O O	0
907	149481	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 too late 	 late 	O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O S O	1
907	255018	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 too late 	 late 	O O O O O O O O O O O O O O O O O O O O O O O O O O B E O	O O O O O O O O O O O O O O O O O O O O O O O O O O O S O	1
907	325384	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 before it is too 	 before it 's too 	O O O O O O O O O O O O O O O O O O O O O O O B I I E O O	O O O O O O O O O O O O O O O O O O O O O O O B I I E O O	1
907	327097	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 before it is too late 	 before it 's too late 	O O O O O O O O O O O O O O O O O O O O O O O B I I I E O	O O O O O O O O O O O O O O O O O O O O O O O B I I I E O	1
907	406027	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 what 's the 	 what is the 	O O O O O O O O O O B I E O O O O O O O O O O O O O O O O	O O O O O O O O O O B I E O O O O O O O O O O O O O O O O	1
907	406031	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 what 's the 	 what is the 	O O O O O O O O O O B I E O O O O O O O O O O O O O O O O	O O O O O O O O O O B I E O O O O O O O O O O O O O O O O	1
907	437170	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 and what 's the 	 and what is the 	O O O O O O O O O B I I E O O O O O O O O O O O O O O O O	O O O O O O O O O B I I E O O O O O O O O O O O O O O O O	1
907	540109	"b""How does it feel to hurt someone you love and what 's the best way to apologize and make up for your mistake before it is too late ?"""	"b""How does it feel to hurt someone you love and what is the best way to apologize and make up for your mistake before it 's too late ?"""	 before it is 	 before it 's 	O O O O O O O O O O O O O O O O O O O O O O O B I E O O O	O O O O O O O O O O O O O O O O O O O O O O O B I E O O O	1
