QQP_id	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	label
1515.0	877708.0	In the world, we are second largest country in terms of population, but we win only very few medals in the Olympics. Why?	If India is the second largest in population, why do they not have Olympic medals like China or the US?	 second 	 second largest 	1
1546.0	60786.0	What is the most effective treatment for acne scars?	Is there an effective treatment for acne?	 most effective 	 effective 	0
1547.0	193360.0	Is a career in A*STAR in Singapore really worth it?	I am a Computer Science student in the UK - is it worth attending Echelon 2012 in Singapore?	 really worth 	 worth 	0
1600.0	140132.0	What, if anything, is too serious to be joked about?	What, if anything, is too serious to be joked about in life?	 too serious 	 serious 	1
1606.0	676362.0	What effect will the presence of a conductor between two point charges have on the Coulomb force between them?	How does the presence of a dielectric between two point charges affect the Coulomb force between them?	 between two 	 between 	0
1671.0	652776.0	What are some interesting differences between American Sign Language and British Sign Language?	Is it weird for a 'hearing' person with no deaf friends to want to learn the signed language most often used in their country (i.e. British Sign Language for me)? Is it comparative to learning a second vocal language, or would you consider it differently? I'm very interested in 'hearing' and deaf opinions.	 interesting 	 very interested 	0
1671.0	776449.0	What are some interesting differences between American Sign Language and British Sign Language?	Is it weird for a 'hearing' person with no deaf friends to want to learn the signed language most often used in their country (i.e. British Sign Language for me)? Is it comparative to learning a second vocal language, or would you consider it differently? I'm very interested in 'hearing' and deaf opinions.	 interesting 	 interested in 	0
1743.0	1423333.0	Why do neoliberals and big corporations feel entitled to free trade agreements when nothing should be for free according to their own logic?	Why do hedge fund managers pay commission to brokerage firms when they have the money to buy the brokerage firms and since they would own the company the could trade for free? Isn't it cheaper to become a stockbroker so you can trade for free.	 free trade 	 trade 	0
1763.0	865046.0	Should I take Sydenham this year or try for JB next year with 99.83 in CET 2016?	I have 2.5 yrs exp in IT,plan to give CET next year, target-JBIMS-MMS. Does JBIMS select candidates with >3 years of exp?	 next year 	 next 	0
1764.0	958599.0	Can most young people in Spain communicate in English fluently?	Can most young people in Italy communicate in English fluently?	 young people 	 young 	0
1798.0	1165422.0	What are some recommended US companies to invest in in 2014?	In Canada, what is the best university for getting into a US investment banking company?	 invest in 	 investment 	0
1839.0	1479877.0	What is difference between Modi and Hitler?	How Modi is different from Hitler?	 difference between 	 is different from 	1
1868.0	858253.0	Why are the Texas Rangers important to law enforcement today?	What are the responsibilities of Texas Rangers and how do they interact with other law enforcement agencies?	 law enforcement 	 enforcement 	1
1875.0	1282928.0	What were the reasons for Industrial Revolution?	What were the causes of the Industrial Revolution?	 the reasons for 	 the causes of the 	1
1913.0	974183.0	What are the best Smartphones tech gadgets?	What are the best available technology gadgets?	 the best 	 best available 	1
1919.0	1255135.0	What are the chances of getting my phone back when someone stole it from my pocket while travelling in local train (Mumbai)?	What is the possibility of getting back mobile phone lost in mumbai local trains?	 chances of 	 the possibility of 	1
1919.0	1266528.0	What are the chances of getting my phone back when someone stole it from my pocket while travelling in local train (Mumbai)?	What is the possibility of getting back mobile phone lost in mumbai local trains?	 chances of 	 the possibility of 	1
1919.0	1266530.0	What are the chances of getting my phone back when someone stole it from my pocket while travelling in local train (Mumbai)?	What is the possibility of getting back mobile phone lost in mumbai local trains?	 chances of 	 the possibility of 	1
1949.0	598357.0	How widely accepted are credit cards at small businesses and restaurants in Monaco?	How widely accepted are credit cards at small businesses and restaurants in Israel?	 credit cards 	 cards 	0
2007.0	1154400.0	Why do black people get upset when non-black rappers use the N-word?	Why is it considered offensive when non-black people use the n word, but not when black people do?	 black people 	 black 	1
2033.0	181847.0	If you were given a chance to be somebody else for a day, who would you be?	If you were given a chance to be somebody else for one day, who would you be?	 somebody else 	 somebody 	1
2085.0	149480.0	What is the most unusual story you've ever heard?	What is the most unusual love story that you have ever heard?	 most unusual 	 unusual 	0
2107.0	733151.0	What is the best way to introduce yourself in English?	How can you introduce yourself?	 introduce yourself 	 introduce 	0
2108.0	1406123.0	Is it possible for a mobile phone to explode?	Do mobile phones explode?	 mobile phone 	 mobile 	1
2121.0	972782.0	What would be the expected salary of an income tax inspector after their seventh pay commission?	In hand salary of an income tax inspector, India, new recruit?	 income tax 	 income 	0
2123.0	674737.0	Can you get pregnant 5 days before ovulation? Why or why not?	Can you get pregnant 5 days after your periods?	 get pregnant 	 pregnant 	0
2134.0	852843.0	What are the different types of communication media and what are some examples?	What are the different types of communication?	 the different types of 	 types of 	0
2134.0	894710.0	What are the different types of communication media and what are some examples?	What are the different types of communication?	 types of 	 the different types of 	0
2134.0	1078834.0	What are the different types of communication media and what are some examples?	What are the different types of communication?	 different types of 	 types of 	0
2134.0	1078837.0	What are the different types of communication media and what are some examples?	What are the different types of communication?	 different types of 	 types of 	0
2169.0	1310937.0	I don't feel like going to school and this is like everyday story. What should I do? I'm in 11th grade.	I'm 21. I no longer like going to school and don't see the point. I feel I'm so distant from friends recently. What should I do to make life more interesting? Should I take an adventure somewhere?	 feel like 	 like 	0
2187.0	239527.0	How do you earn money from internet?	How can we earn money online in india?	 earn money 	 earn 	1
2200.0	149481.0	Is 21 too late to learn guitar?	Is it too late to learn how to sing at age 21?	 too late 	 late 	0
2200.0	255018.0	Is 21 too late to learn guitar?	Is it too late to learn how to sing at age 21?	 too late 	 late 	0
2230.0	44326.0	What are some of the most common examples of metals and non-metals?	What are some common examples of metal carbonates?	 most common 	 common 	0
2259.0	285878.0	What is your most amazing personal story of traveling to Rome?	What is your most amazing personal story of traveling to Philippines?	 most amazing 	 amazing 	0
2259.0	588713.0	What is your most amazing personal story of traveling to Rome?	What is your most amazing personal story of traveling to Philippines?	 amazing 	 most amazing 	0
2295.0	1181184.0	Is there any law that prohibits a naval officer from wearing uniform in witness box as shown in Rustom?	Are there any laws that prohibit a sports league from influencing results in order to increase profits from ticket sales and advertising revenues?	 any law 	 any laws 	0
2379.0	144687.0	Is mechanical keyboard really helpful for touch typing?	Is mechanical keyboard helpful for Touch Typing?	 really helpful 	 helpful 	1
2392.0	755342.0	How can medical doctors move into biotech or molecular biology?	How can medical doctors move into biotech?	 medical doctors 	 doctors 	1
2422.0	234683.0	I want a real and effective way to make $ 500 per month with the knowledge that I have no money to invest?	The real effective way to make $ 500 per month with the knowledge that I have no money to invest?	 per month 	 month 	1
2431.0	495886.0	How do I choose the best taxi services in Udaipur?	How do I choose best taxi service in Udaipur? How can I find that?	 services in 	 service 	1
2431.0	703361.0	How do I choose the best taxi services in Udaipur?	How do I choose best taxi service in Udaipur? How can I find that?	 services in 	 service in 	1
2433.0	244468.0	How can I find work experience in Investment banking in London?	How do I find investment banking work experience in London?	 work experience 	 experience 	1
2450.0	1450432.0	How many times will you have sex in a day?	How many times should one have sex a day?	 many times 	 times 	1
2489.0	235712.0	What is cost of 60kwatt solar power project?	What is the most powerful, easy-to-make solar cooker for a school project?	 solar power 	 solar 	0
2551.0	1071818.0	Is it practically guaranteed I'll be deployed to Afghanistan if I join the Army or National Guard, even in a non-combat related MOS?	What are some great ideas for care packages for a close relative being deployed overseas with the National Guard?	 deployed 	 deployed overseas 	0
2576.0	226989.0	Is it possible to run away from my life without 'loved ones' tracing me?	Are you running away from something?	 run away 	 running 	0
2615.0	714730.0	How old is too old for med school? Or law school?	Is 25 too old for med school?	 too old 	 old 	1
2625.0	1318721.0	What are the differences between human beings and animals?	What is the difference between humans and the other animals?	 human beings and 	 humans and 	1
2625.0	1318722.0	What are the differences between human beings and animals?	What is the difference between humans and the other animals?	 human beings and 	 humans and 	1
2625.0	1318723.0	What are the differences between human beings and animals?	What is the difference between humans and the other animals?	 human beings and 	 humans and 	1
2639.0	992891.0	What are some mind-blowing iPhone/Android gadgets that most people don't know about?	What are the most useful devices or gadgets you own for your smartphone that maybe other people don't know about?	 most people 	 most 	1
2689.0	486745.0	What really happened at MG Road, Bangalore on New Year’s Eve 2017?	What exactly happened on 2017 New Year's Eve in Bengaluru? What could be causes of this?	 really happened 	 happened 	1
2732.0	1366165.0	What is the main purpose of jailbreaking?	What is the main purpose of jailbreaking an iPhone? How is it done?	 main purpose 	 purpose 	1
2743.0	1450102.0	What is the best way to get online help for editing in a research paper?	How do I get help for research paper?	 online help 	 help 	0
2752.0	113488.0	What was the most useful invention of 2014?	What is the most useful invention?	 most useful 	 useful 	0
2778.0	1406126.0	How can I hack the mobile phones password of my friends?	How can I hack mobile phone?	 mobile phones 	 mobile 	0
2785.0	535909.0	What would happen if the internet shut down and how could it happen?	What would happen if the internet shut down today?	 shut down 	 shut 	1
2839.0	474675.0	What should be the first question to ask on Quora?	What can be my first question for Quora?	 first question 	 question 	1
2859.0	401280.0	What is the best way to reduce abdominal fat?	What is the way to reduce the fat on belly?	 the best way to 	 the way to 	1
2866.0	99638.0	What are the most popular songs in Spanish?	What's the most popular song?	 most popular 	 popular 	0
2893.0	1168069.0	How do I extend Google Drive storage capacity for free of cost above the first free 15 GB?	How can I get free Google Drive storage above the first free 15 GB?	 free of cost 	 free 	1
2895.0	674737.0	Can a girl get pregnant after her last day of periods?	How possible is it to get pregnant one day after my 3 day period?	 get pregnant 	 pregnant 	1
2922.0	1470399.0	Why is it more common to see interracial couples only being black guys with women of other races, than it is to see white guys with other races?	Do women like guys from another race?	 of other 	 another 	0
2947.0	705878.0	What is the use of getting more upvotes in Quora?	What is the purpose of Quora?	 is the use 	 is the purpose 	0
2972.0	674737.0	Can you get pregnant one day before ovulation?	Can u get pregnant the day after your period ends?	 get pregnant 	 pregnant 	1
2989.0	1370757.0	What are the most sought after skills?	What are the most sought after I.T. certifications?	 sought after 	 sought 	0
3055.0	1433801.0	What is open market operation?	What do you mean by open market operation?	 open market 	 market 	1
3081.0	992891.0	What are some mind-blowing technology tools that most people don't know about?	What are some mind blowing technology gadgets that most people don't know?	 most people 	 most 	1
3112.0	239527.0	How can we earn money online without investment?	What is the easiest way to earn money from online?	 earn money 	 earn 	1
3122.0	239527.0	Can you earn money from an affiliate adult content website?	How do bloggers earn money?	 earn money 	 earn 	0
3132.0	173763.0	Who was the most powerful king in the history of India?	Who was the most powerful king in the history of India? Why?	 most powerful 	 powerful 	1
3170.0	685882.0	What are the legal separation laws in PA and how do they compare with the ones in Washington?	What are the legal separation laws in PA and how do they compare with the ones in Indiana?	 legal separation 	 separation 	0
3183.0	226990.0	How do you run away as an adult?	How can I run away from Algeria?	 run away 	 run 	0
3183.0	1177317.0	How do you run away as an adult?	How can I run away from Algeria?	 run away 	 run 	0
3198.0	64683.0	Is it me or is it harder to maintain friendships?	Why is it difficult to maintain friendships?	 it harder to 	 it difficult to 	0
3204.0	74219.0	Which laptop is the most suitable with the following specs?	Which laptop is most suitable with the following specs?	 most suitable 	 suitable 	0
3228.0	1526577.0	What if mental illnesses didn't exist?	What is mental illness?	 mental illnesses 	 mental 	0
3261.0	193360.0	Is college really worth all the stress?	Is university really worth it?	 really worth 	 worth 	1
3275.0	209647.0	"Why do people say ""bless you"" whenever someone sneezes?"	"What is the origin of saying ""bless you"" when someone sneezes?"	 people say 	 saying 	1
3334.0	65537.0	Who is the most famous poet in the world?	Who is the most famous poets?	 most famous 	 famous 	1
3340.0	593579.0	Why do I forget things that I read so easily?	Why do I forget things easily?	 forget things 	 forget 	0
3362.0	799043.0	What is the best wireless internet service provider in India?	Which are the best wireless internet services in India?	 internet service 	 internet services 	1
3377.0	554866.0	What is the best app to keep track of your daily expense?	Which is the best app to keep a track of expense?	 keep track of 	 track 	0
3377.0	962247.0	What is the best app to keep track of your daily expense?	Which is the best app to keep a track of expense?	 keep track 	 track 	0
3389.0	288257.0	Can I deposit 500 & 1000 INR notes in my savings account multiple times on each banking day till 30/12/2016?	Can I deposit 500 & 1000 INR notes in my current account multiple times on each banking day till 30/12/2016?	 multiple times 	 multiple 	1
3544.0	135117.0	When was the last year that America was great according to the Trump campaign?	When was the last time America was great according to Trump's “Make America Great Again” slogan?	 was the last 	 was the last time 	1
3544.0	704643.0	When was the last year that America was great according to the Trump campaign?	When was the last time America was great according to Trump's “Make America Great Again” slogan?	 last year 	 last 	1
3563.0	597588.0	Is world war 3 likely?	How soon is world war III?	 world war 	 war 	1
3618.0	674737.0	Can u get pregnant the day after your period ends?	Can I get pregnant 3 days after period if I bled for not even a full 3 days?	 get pregnant 	 pregnant 	1
3618.0	870553.0	Can u get pregnant the day after your period ends?	Can I get pregnant 3 days after period if I bled for not even a full 3 days?	 day after 	 after 	1
3626.0	1450845.0	Can you please let me know the password of your email-id? I need it for checking some things. INTERVIEW ANSWER TO THIS QUESTION	Can you please let me know the password of your email-id? I need it for checking some things.	 please let me 	 let me 	1
3627.0	775116.0	How does packet switched network differs from circuit switched network?	How does packet switched network differ from circuit switched network?	 differs from 	 differ from 	1
3636.0	57006.0	If we evolved from apes then why are there still apes around today?	If we have evolved from ages then why are apes around us?	 then why 	 why 	1
3640.0	547992.0	What are the different ways to rank keyword through Facebook?	What are the different ways to rank a keyword through Facebook?	 different ways 	 ways 	1
3640.0	994065.0	What are the different ways to rank keyword through Facebook?	What are the different ways to rank a keyword through Facebook?	 the different ways 	 ways 	1
3661.0	674737.0	Is it possible to get pregnant if a couple is trying just 4 days before her menstrual cycle?	Can you get pregnant 8 days before your period?	 get pregnant 	 pregnant 	1
3704.0	109355.0	Is it wrong to date a 25 years old guy while I'm 21?	How creepy is it for a 25 year old guy to date a 18-20 year old girl?	 years old 	 old 	0
3764.0	465745.0	How do I find interesting topics in Quora to reply to?	How do I find interesting topics to follow on Quora?	 find interesting 	 interesting 	0
3764.0	912202.0	How do I find interesting topics in Quora to reply to?	How do I find interesting topics to follow on Quora?	 interesting 	 find interesting 	0
3822.0	209646.0	"Why do people say ""God bless you""?"	Why do we say god bless you when we sneeze?	 people say 	 say 	1
3847.0	634072.0	What are the most interesting questions and answers on Quora?	What are some of the best questions/answers ever seen on Quora?	 are the most 	 are some of the 	0
3867.0	871605.0	What is the best travel health insurance for my parents (Non-US citizens) who are visiting the States?	What is the best health insurance I can get for a foreign family visiting the US?	 health insurance 	 insurance 	1
3907.0	239527.0	How do I earn money online in Iraq?	What is the best way to earn money online?	 earn money 	 earn 	0
3949.0	209646.0	Why do people say Dhanush (South Indian actor) is ugly? I don't think so.?	Why do people say Dhanush (South Indian actor) is ugly? I don't think so?	 people say 	 say 	1
3952.0	364769.0	What is the importance of cultural heritage for architects.?	What is the importance of culture heritage for architects?	 cultural heritage 	 heritage 	1
3989.0	94096.0	I am an introvert and I look very young although I have 10 years of work experience. Are there any tips to look and act more senior?	I'm a petite 32-year-old woman who looks very young despite 10 years of work experience. It's a disadvantage in my profession. What are some ways to look/act older and more authoritative?	 very young 	 young 	1
3989.0	364922.0	I am an introvert and I look very young although I have 10 years of work experience. Are there any tips to look and act more senior?	I'm a petite 32-year-old woman who looks very young despite 10 years of work experience. It's a disadvantage in my profession. What are some ways to look/act older and more authoritative?	 10 years 	 years 	1
4037.0	1441674.0	How do you recognise a manipulative person?	How do you quickly recognize a manipulative person?	 recognise a 	 recognize a 	1
4081.0	57006.0	As per law of attraction what you think that happens then why life doesn't go as we thought it should or as per our plans?	As per Hindu mythology, all the sorrows and happiness are a result of our karma in our past life. If it is so, then why do people pray to God for help in times of distress, knowing that suffering is imminent and predestined? And what is the role of God in our life, if he can't help us?	 then why 	 why 	0
4082.0	190392.0	What are the most visible external signs that someone is high on heroin?	What are the most visible external signs that someone is high on dextromethorphan?	 most visible 	 visible 	0
4109.0	88753.0	What strikes first time visitors as special or unusual when they arrive in Várzea Grande, Brazil?	What strikes first time visitors as special or unusual when they arrive in Ibirité, Brazil?	 first time 	 first 	0
4109.0	646502.0	What strikes first time visitors as special or unusual when they arrive in Várzea Grande, Brazil?	What strikes first time visitors as special or unusual when they arrive in Ibirité, Brazil?	 first time 	 first 	0
4167.0	1526576.0	Is a mental illness a choice? Does someone decide to have one or not?	Is mental illness is a choice?	 mental illness 	 mental 	1
4224.0	500031.0	Is there any side effect of Protinex powder?	What are the side effects of Adderall?	 effect of 	 effects of 	0
4224.0	1065070.0	Is there any side effect of Protinex powder?	What are the side effects of Adderall?	 side effect 	 side effects 	0
4260.0	992891.0	What are the best new products or gadgets that most people don't know about?	What are some mind-blowing gadgets and technologies that exist that most people don't know about?	 most people 	 most 	1
4274.0	1310937.0	Do you ever feel like you don't deserve some things in your life?	Do you ever feel like you want to do so many things in your life but you don't know where to start?	 feel like 	 like 	0
4290.0	1493475.0	When will Apple release the next generation of MacBook Pros ?	When will Apple release the next generation of MacBook Pros with redesigned hardware?	 the next generation 	 generation 	1
4334.0	1100835.0	Who is the best prime minister of India?	Who is the best prime minister of the india till now?	 prime minister 	 prime 	1
4334.0	1401947.0	Who is the best prime minister of India?	Who is the best prime minister of the india till now?	 prime minister 	 minister 	1
4368.0	1480465.0	How does the respiratory system work?	What other systems work with the respiratory system?	 the respiratory system 	 respiratory 	0
4390.0	57006.0	If we have evolved from apes then why there are apes around us?	If humans evolved from monkeys then why are monkeys still around?	 then why 	 why 	1
4403.0	465745.0	What trivia (and/or little-known facts) do you find interesting about Antarctica?	Which are some of the interesting facts about Antarctica and what are the research works going on in Antarctica?	 find interesting 	 interesting 	1
4438.0	209646.0	"Why do people say ""God bless you""?"	"Why do people say ""bless you"" whenever someone sneezes?"	 people say 	 say 	1
4492.0	219627.0	In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together?	How many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd position?	 many different 	 different 	0
4492.0	547992.0	In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together?	How many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd position?	 different ways 	 ways 	0
4566.0	239527.0	How earn money by CPAGrip.com?	How can one earn money in tutoruniverse.com?	 earn money 	 earn 	0
4604.0	103288.0	What are the most beautiful and inexpensive countries to visit?	What are the cheapest and most beautiful places to visit in the world?	 most beautiful 	 beautiful 	1
4610.0	574033.0	What is the Arizona bark scorpion, and how do animal species in the Sonoran Desert compare to species in the Atacama Desert?	What is the Arizona bark scorpion, and how do animal species in the Sonoran Desert compare to species in the Namib Desert?	 animal species 	 species 	0
4653.0	495886.0	Where can I get best fire protection services in Sydney?	Where can I get emergency fire protection service in Sydney?	 services in 	 service 	1
4653.0	703361.0	Where can I get best fire protection services in Sydney?	Where can I get emergency fire protection service in Sydney?	 services in 	 service in 	1
4653.0	1437235.0	Where can I get best fire protection services in Sydney?	Where can I get emergency fire protection service in Sydney?	 fire protection 	 fire 	1
4688.0	1231560.0	What are the statistics for serious injuries caused in competitive MMA?	What are the statistics on serious injuries caused in competitive boxing?	 serious injuries 	 injuries 	0
