	SNLI_PairID	PPDB_id	sent1	sent2	paraphrase1	paraphrase2	gold_label
14	6630195863.jpg#4r1c	1266467.0	A young man doing a trick on a skateboard down the stairs while being photographed.	A young man roller blades across a ramp while being photographed.	 young man 	 young 	contradiction
15	6630195863.jpg#4r1n	1266467.0	A young man doing a trick on a skateboard down the stairs while being photographed.	A helmet-less young man does a trick on a skateboard while being photographed.	 young man 	 young 	neutral
16	3827316480.jpg#3r1e	1167700.0	Two children in hats play in an open, rocky field.	The children are playing in a rocky field.	 play in 	 playing in 	entailment
17	3827316480.jpg#3r1e	1503053.0	Two children in hats play in an open, rocky field.	The children are playing in a rocky field.	 play in 	 playing in 	entailment
18	4530524963.jpg#3r1n	118762.0	People walking around in a big city.	People are walking to the park.	 walking around 	 walking 	neutral
19	2735558076.jpg#3r1n	1266467.0	The young man is waiting with others on the sidewalk.	There is a young person talking with others near the bustop	 young man 	 young 	neutral
20	5054184499.jpg#3r1c	614786.0	A little girl follows two guys with umbrellas down a path.	The little girl is riding a horse.	 little girl 	 girl 	contradiction
21	4688194296.jpg#0r4n	117214.0	People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.	People wearing their bright team uniforms await the pistol that signifies the start of their race	 the beginning of 	 the start of 	neutral
22	4688194296.jpg#0r4n	902171.0	People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.	People wearing their bright team uniforms await the pistol that signifies the start of their race	 the beginning 	 the start 	neutral
23	4688194296.jpg#0r4n	1431442.0	People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.	People wearing their bright team uniforms await the pistol that signifies the start of their race	 beginning of 	 start of 	neutral
24	4688194296.jpg#0r5e	1367322.0	People in orange vests and blue pants with a yellow stripe at the bottom await the beginning of a race.	People are waiting for a race.	 await 	 are waiting 	entailment
25	5684720360.jpg#2r1n	1224761.0	A blond woman with two children is checking out at a Walmart register.	A mother is with her two children at Walmart buying food	 two children 	 children 	neutral
26	5684720360.jpg#2r1e	1224761.0	A blond woman with two children is checking out at a Walmart register.	A mother is with her two children at walmart	 two children 	 children 	entailment
27	4593716344.jpg#4r1n	638905.0	man sitting down playing a game of chess alone	A human sitting down playing one game of chess alone.	 sitting down 	 sitting 	neutral
28	222759342.jpg#3r1n	614786.0	A little girl picking up a watermelon from a pile.	A girl is buying a watermelon.	 little girl 	 girl 	neutral
29	222759342.jpg#3r1c	614786.0	A little girl picking up a watermelon from a pile.	A girl is picking up an orange.	 little girl 	 girl 	contradiction
30	222759342.jpg#3r1e	614786.0	A little girl picking up a watermelon from a pile.	A girl is picking an item up.	 little girl 	 girl 	entailment
31	2773474615.jpg#1r1e	341334.0	A woman in a floral dress talks to children in front of a van.	A woman is talking to children.	 talks to 	 is talking to 	entailment
32	3146232740.jpg#3r1e	8712.0	A dog is fetching a stick out of very clear water.	A dog is fetching a stick out of very clear water.	 very clear 	 clear 	entailment
33	3146232740.jpg#3r1e	40533.0	A dog is fetching a stick out of very clear water.	A dog is fetching a stick out of very clear water.	 very clear 	 clear 	entailment
34	3146232740.jpg#3r1e	1029757.0	A dog is fetching a stick out of very clear water.	A dog is fetching a stick out of very clear water.	 clear 	 very clear 	entailment
35	3146232740.jpg#3r1n	8712.0	A dog is fetching a stick out of very clear water.	A dog is fetching a stick out of very clear water in the back yard.	 very clear 	 clear 	neutral
36	3146232740.jpg#3r1n	40533.0	A dog is fetching a stick out of very clear water.	A dog is fetching a stick out of very clear water in the back yard.	 very clear 	 clear 	neutral
37	3146232740.jpg#3r1n	1029757.0	A dog is fetching a stick out of very clear water.	A dog is fetching a stick out of very clear water in the back yard.	 clear 	 very clear 	neutral
38	71007788.jpg#0r1n	614786.0	1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.	A boy and girl trick or treating.	 little girl 	 girl 	neutral
39	71007788.jpg#0r1e	614786.0	1 little boy wearing a pirate costume following closely behind a little girl wearing a blue dress carrying a orange pumpkin bucket and walking down the sidewalk.	Boy in costume followed by a girl in costume.	 little girl 	 girl 	entailment
40	4738240252.jpg#4r1n	638902.0	People sitting down to eat.	The wedding party guests sit down to enjoy the feast.	 sitting down 	 sit 	neutral
41	3441511444.jpg#0r1e	808939.0	A man wearing a tan coat signs papers for another man wearing a blue coat.	One man writes on papers, while another man stands by.	 another man 	 man 	entailment
42	4796732957.jpg#0r1e	1266467.0	A young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall.	The young man has glasses on his face.	 young man 	 young 	entailment
43	264460711.jpg#0r1e	83337.0	A group of men and women are having a discussion in a restaurant.	a group of men and women converse	 men and women 	 and women 	entailment
44	264460711.jpg#0r1e	295071.0	A group of men and women are having a discussion in a restaurant.	a group of men and women converse	 and women 	 men and women 	entailment
45	264460711.jpg#0r1e	509595.0	A group of men and women are having a discussion in a restaurant.	a group of men and women converse	 men and women 	 men and 	entailment
46	264460711.jpg#0r1e	886122.0	A group of men and women are having a discussion in a restaurant.	a group of men and women converse	 of men and women 	 and women 	entailment
47	264460711.jpg#0r1e	911692.0	A group of men and women are having a discussion in a restaurant.	a group of men and women converse	 and women 	 of men and women 	entailment
48	7035417199.jpg#1r1n	553901.0	A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.	The team in yellow is trying to score a goal.	 is attempting to 	 is trying to 	neutral
49	7035417199.jpg#1r1n	553919.0	A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.	The team in yellow is trying to score a goal.	 is attempting to 	 is trying to 	neutral
50	7035417199.jpg#1r1n	1311147.0	A soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts.	The team in yellow is trying to score a goal.	 attempting to 	 is trying to 	neutral
51	2306186887.jpg#4r1e	337066.0	The dogs run and play with a red ball.	The dogs are playing with a ball.	 play with 	 playing with 	entailment
52	2476656359.jpg#3r1e	333705.0	Children playing with broken office equipment.	Children play with old equipment.	 playing with 	 play with 	entailment
53	1873655403.jpg#0r1e	950490.0	3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.	Some construction workers found something intriguing.	 something 	 found something 	entailment
54	1873655403.jpg#0r5e	950490.0	3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.	safety workers found something cool.	 something 	 found something 	entailment
55	3615239961.jpg#2r1c	521930.0	Someone in a yellow hat is sitting next to two fishing poles.	The person is sitting next to one fishing pole.	 is sitting 	 sitting next 	contradiction
56	3615239961.jpg#2r1c	601585.0	Someone in a yellow hat is sitting next to two fishing poles.	The person is sitting next to one fishing pole.	 sitting next 	 is sitting 	contradiction
57	2622986361.jpg#4r1c	83337.0	Young men and women gather outside in the streets for a party.	Young men and women are gathering inside in the streets for a party.	 men and women 	 and women 	contradiction
58	2622986361.jpg#4r1c	295071.0	Young men and women gather outside in the streets for a party.	Young men and women are gathering inside in the streets for a party.	 and women 	 men and women 	contradiction
59	2622986361.jpg#4r1c	509595.0	Young men and women gather outside in the streets for a party.	Young men and women are gathering inside in the streets for a party.	 men and women 	 men and 	contradiction
60	2622986361.jpg#4r1n	83337.0	Young men and women gather outside in the streets for a party.	Young men and women are gathering outside to celebrate the Fourth of July.	 men and women 	 and women 	neutral
61	2622986361.jpg#4r1n	295071.0	Young men and women gather outside in the streets for a party.	Young men and women are gathering outside to celebrate the Fourth of July.	 and women 	 men and women 	neutral
62	2622986361.jpg#4r1n	509595.0	Young men and women gather outside in the streets for a party.	Young men and women are gathering outside to celebrate the Fourth of July.	 men and women 	 men and 	neutral
63	2622986361.jpg#4r1e	83337.0	Young men and women gather outside in the streets for a party.	Men and women are outside.	 men and women 	 and women 	entailment
64	4586137415.jpg#2r1c	614786.0	A little girl dressed in pink and white is walking.	The girl is being blown away by the wind.	 little girl 	 girl 	contradiction
65	4586137415.jpg#2r1e	614786.0	A little girl dressed in pink and white is walking.	A girl is wearing pink and white.	 little girl 	 girl 	entailment
66	4586137415.jpg#2r1n	614786.0	A little girl dressed in pink and white is walking.	The girl has a handbasket.	 little girl 	 girl 	neutral
67	4586137415.jpg#4r1e	107229.0	The little girl is dressed in pink.	A little girl is dressed in the same color.	 little girl is 	 girl is 	entailment
68	4586137415.jpg#4r1e	614786.0	The little girl is dressed in pink.	A little girl is dressed in the same color.	 little girl 	 girl 	entailment
69	4586137415.jpg#4r1n	107229.0	The little girl is dressed in pink.	A little girl is wearing a pink dress.	 little girl is 	 girl is 	neutral
70	4586137415.jpg#4r1n	614786.0	The little girl is dressed in pink.	A little girl is wearing a pink dress.	 little girl 	 girl 	neutral
71	4103009351.jpg#1r1e	1266467.0	In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.	A young man is canoeing.	 young man 	 young 	entailment
72	316032526.jpg#2r1c	614786.0	The little girl in the blue sweater is reading her book.	A little girl is playing a board game with her brother.	 little girl 	 girl 	contradiction
73	316032526.jpg#1r1n	614786.0	A little girl with a backpack sitting down looking at a book.	the girl reads a book about dogs	 little girl 	 girl 	neutral
74	316032526.jpg#1r1e	614786.0	A little girl with a backpack sitting down looking at a book.	the girl reads a book	 little girl 	 girl 	entailment
75	3539960792.jpg#3r1e	1043787.0	A baseball player getting ready to bat.	The player is ready to hit.	 getting ready 	 ready 	entailment
76	3313232606.jpg#0r1e	124679.0	A team of soccer players in white strips are running around cones on a sports field.	Soccer players are running on the grass.	 running around 	 running 	entailment
77	367248403.jpg#2r1n	980171.0	One person holds a giant snowball over two others on the ground in a snowy background.	One person holds a giant snowball over two others on the school grounds in a snowy background.	 two others 	 others 	neutral
78	252802010.jpg#3r1n	443400.0	Two dogs look at one another outside.	Two dogs are in the backyard glaring at each other over which will get to reach the bone first.	 one another 	 other 	neutral
79	252802010.jpg#3r1n	623967.0	Two dogs look at one another outside.	Two dogs are in the backyard glaring at each other over which will get to reach the bone first.	 one another 	 each other 	neutral
80	2325436092.jpg#3r1n	838213.0	Ensuring that an accurate account of all I see here is appropriately recorded.	Ensuring an accurate account is kept in case there are legal issues in the future.	 here is 	 there are 	neutral
81	381750411.jpg#1r1c	1266467.0	A young man in a green long-sleeved shirt and tie playing a saxophone.	the young man is wearing a black t-shirt modeled after a tuxedo	 young man 	 young 	contradiction
82	381750411.jpg#1r1e	1266467.0	A young man in a green long-sleeved shirt and tie playing a saxophone.	the young man is playing the saxophone	 young man 	 young 	entailment
83	381750411.jpg#1r1n	1266467.0	A young man in a green long-sleeved shirt and tie playing a saxophone.	the young man is auditioning for julliard	 young man 	 young 	neutral
84	6593497141.jpg#0r1n	962347.0	An older middle-aged man wearing a brown hat is strumming a guitar and singing into a microphone; his female companion is singing into a microphone and playing an instrument also, but the woman's instrument cannot be readily seen.	The couple sing and play together nicely, even if the man's brown hat is blocking the woman's instrument.	 and playing 	 and play 	neutral
85	4681944456.jpg#3r1n	614786.0	A little girl smiling in a colorful knitted hat.	The little girl likes her hat	 little girl 	 girl 	neutral
86	4681944456.jpg#3r1c	614786.0	A little girl smiling in a colorful knitted hat.	The little girl is angry	 little girl 	 girl 	contradiction
87	4681944456.jpg#3r1e	614786.0	A little girl smiling in a colorful knitted hat.	The little girl is happy	 little girl 	 girl 	entailment
88	4681944456.jpg#1r1n	614786.0	A little girl with a knit hat laying on a pillow propping her head up with her hands.	A girl is trying to take a nap.	 little girl 	 girl 	neutral
89	4681944456.jpg#0r1n	614786.0	A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.	A little girl poses for a picture her mom is taking.	 little girl 	 girl 	neutral
90	4681944456.jpg#0r1c	614786.0	A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.	A little girl chases an ice cream truck.	 little girl 	 girl 	contradiction
91	4681944456.jpg#0r1e	614786.0	A little girl in a pink, blue, orange and green hat with her hands on her face posing for the camera.	A little girl poses for the camera.	 little girl 	 girl 	entailment
92	4530524963.jpg#0r2e	1053164.0	There are many people walking at Times Square in New York near a building with a Lion King poster in the window.	There are many people walking at Times Square.	 are many people 	 are many 	entailment
93	4530524963.jpg#0r2c	1053164.0	There are many people walking at Times Square in New York near a building with a Lion King poster in the window.	There are many people sitting at Times Square	 are many people 	 are many 	contradiction
94	4530524963.jpg#0r2n	1053164.0	There are many people walking at Times Square in New York near a building with a Lion King poster in the window.	There are many people happily walking at Times Square	 are many people 	 are many 	neutral
95	758921886.jpg#0r1e	614786.0	A little girl smiles as she slides down a tube on a sunny day.	A little girl slides down a tube.	 little girl 	 girl 	entailment
96	758921886.jpg#0r1c	614786.0	A little girl smiles as she slides down a tube on a sunny day.	A little girl is crying as she slides down a tube.	 little girl 	 girl 	contradiction
97	758921886.jpg#0r1n	614786.0	A little girl smiles as she slides down a tube on a sunny day.	A little girl slides down a tube at a park.	 little girl 	 girl 	neutral
98	2341902084.jpg#1r1c	1266467.0	A young man and an older man sit on a plaid loveseat.	A young man and an older man play street hockey.	 young man 	 young 	contradiction
99	5914327.jpg#1r1n	256747.0	Workers on a platform work together to carry an item with skyscrapers in the background.	Male workers on a platform work together to carry a piece of metal with skyscrapers in the background	 work together 	 together 	neutral
100	6317524663.jpg#1r3e	690124.0	Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.	A white man has black hair.	 white man 	 white 	entailment
101	6317524663.jpg#1r3c	690124.0	Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.	A white man has white hair.	 white man 	 white 	contradiction
102	6317524663.jpg#1r3n	690124.0	Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.	A white man has light black hair.	 white man 	 white 	neutral
103	6317524663.jpg#2r1e	1266467.0	A young man in a white polka dot shirt is singing into a microphone.	A young man is singing.	 young man 	 young 	entailment
104	6317524663.jpg#2r1c	1266467.0	A young man in a white polka dot shirt is singing into a microphone.	A young man is making a speech.	 young man 	 young 	contradiction
105	6317524663.jpg#2r1n	1266467.0	A young man in a white polka dot shirt is singing into a microphone.	A young man at a karaoke bar.	 young man 	 young 	neutral
106	4784866019.jpg#2r1n	1167700.0	fully clothed adults splash each other as they play in water.	The adults are playing in a pool.	 play in 	 playing in 	neutral
107	4784866019.jpg#2r1n	1503053.0	fully clothed adults splash each other as they play in water.	The adults are playing in a pool.	 play in 	 playing in 	neutral
108	3497238310.jpg#3r1c	1266469.0	some young men playing basketball	Some young men are playing baseball.	 young men 	 young 	contradiction
109	3497238310.jpg#3r1n	1266469.0	some young men playing basketball	The young men play on a court.	 young men 	 young 	neutral
110	10082348.jpg#0r4c	454385.0	A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug.	A naked man is standing in the bathroom.	 stands in 	 standing in 	contradiction
111	5054184499.jpg#2r5e	614786.0	A little girl walking down a dirt road behind a group of other walkers.	The girl is not at the head of the pack of people.	 little girl 	 girl 	entailment
112	5054184499.jpg#2r2n	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A little girl walking down a dirt road to meet up with her friends.	 little girl 	 girl 	neutral
113	5054184499.jpg#2r3n	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A small girl is sneaking up on some people walking down a dirt road	 little girl 	 girl 	neutral
114	5054184499.jpg#2r3c	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A girl rides her bike on the sidewalk	 little girl 	 girl 	contradiction
115	5054184499.jpg#2r2e	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A little girl walking outdoors.	 little girl 	 girl 	entailment
116	5054184499.jpg#2r1c	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A girl is riding a bicycle down a grassy hill.	 little girl 	 girl 	contradiction
117	5054184499.jpg#2r5n	614786.0	A little girl walking down a dirt road behind a group of other walkers.	The young girl is following her parents down the road.	 little girl 	 girl 	neutral
118	5054184499.jpg#2r1n	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A tired girl is having trouble keeping up with her parents.	 little girl 	 girl 	neutral
119	5054184499.jpg#2r5c	614786.0	A little girl walking down a dirt road behind a group of other walkers.	The little girl is riding a bike.	 little girl 	 girl 	contradiction
120	5054184499.jpg#2r1e	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A girl is on a dirt road.	 little girl 	 girl 	entailment
121	5054184499.jpg#2r3e	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A small girl is following people walking down a dirt road.	 little girl 	 girl 	entailment
122	5054184499.jpg#2r2c	614786.0	A little girl walking down a dirt road behind a group of other walkers.	A little girl lying down, watching television.	 little girl 	 girl 	contradiction
123	390899859.jpg#0r1c	1266467.0	A young women smiling and a young man smirking in front of a speaker.	Two young people arguing.	 young man 	 young 	contradiction
124	390899859.jpg#0r1n	1266467.0	A young women smiling and a young man smirking in front of a speaker.	A young couple on a date.	 young man 	 young 	neutral
125	4850809558.jpg#3r1e	454385.0	A person stands in the middle of traffic.	A person is standing in the public.	 stands in 	 standing in 	entailment
126	124390903.jpg#3r1n	614786.0	A little girl with a tiara eating in someones lap.	The girl was with other people having a meal.	 little girl 	 girl 	neutral
127	124390903.jpg#3r1c	614786.0	A little girl with a tiara eating in someones lap.	The girl was drinking a soda next to a fountain.	 little girl 	 girl 	contradiction
128	124390903.jpg#3r1e	614786.0	A little girl with a tiara eating in someones lap.	The girl was in her mothers lap eating dinner after she won a tiara in the contest.	 little girl 	 girl 	entailment
129	3143032614.jpg#1r1e	291108.0	A group of people looking around in a dirt or stone shaded area.	People are looking around the dirt.	 looking around 	 looking 	entailment
130	3143032614.jpg#1r1n	291108.0	A group of people looking around in a dirt or stone shaded area.	People are looking for a lost cellphone.	 looking around 	 looking 	neutral
131	3186073578.jpg#0r1n	302931.0	A man is standing in front of a motor-scooter holding up a picture.	A mans stands in front of a scooter and holds up a some sceneries picture	 standing in 	 stands in 	neutral
132	3186073578.jpg#0r1e	302931.0	A man is standing in front of a motor-scooter holding up a picture.	A mans stands in front of a scooter and holds up a picture	 standing in 	 stands in 	entailment
133	3626642428.jpg#4r1e	1167700.0	Dogs play in creek.	There are dogs playing in the water.	 play in 	 playing in 	entailment
134	3626642428.jpg#4r1e	1503053.0	Dogs play in creek.	There are dogs playing in the water.	 play in 	 playing in 	entailment
135	4613268823.jpg#0r1n	533807.0	A man driving a cart with an advertisement asking you to place your ad on the back of his bike.	The man is advertising Google.	 an advertisement 	 advertising 	neutral
136	3462064866.jpg#2r1c	1266469.0	Three young men are jumping in the air during a picture on the beach.	Three young women swim at the beach.	 young men 	 young 	contradiction
137	1464745434.jpg#0r4e	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	A young man has a tan hat.	 young man 	 young 	entailment
138	1464745434.jpg#0r4n	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	A young man has a small tan hat.	 young man 	 young 	neutral
139	1464745434.jpg#0r1e	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	The young man is taller than the wall separating the kitchen and the living area.	 young man 	 young 	entailment
140	1464745434.jpg#0r1n	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	A young man is standing in the kitchen.	 young man 	 young 	neutral
141	1464745434.jpg#0r2n	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	The  young man is looking to see if dinner is ready yet.	 young man 	 young 	neutral
142	1464745434.jpg#0r1c	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	A young man is outside looking at the house.	 young man 	 young 	contradiction
143	1464745434.jpg#0r4c	1266467.0	A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	A young man has a white hat.	 young man 	 young 	contradiction
144	4859630545.jpg#2r1n	1150209.0	Two people in blue shirts take a photo of themselves as a woman in a scarf pass them by.	The people took a picture of the woman.	 a photo of 	 a picture of 	neutral
145	5385069995.jpg#1r4c	1266467.0	Four musicians play their instruments on the street while a young man on a bike stands by to listen.	The young man is riding his bike down the street.	 young man 	 young 	contradiction
146	2987121689.jpg#1r1c	1266469.0	Two young men on opposing soccer teams are competing to get the ball on a soccer field.	Two young men are playing baseball.	 young men 	 young 	contradiction
147	2987121689.jpg#1r1e	1266469.0	Two young men on opposing soccer teams are competing to get the ball on a soccer field.	Two young men are playing soccer.	 young men 	 young 	entailment
148	3143953179.jpg#4r1e	1167700.0	Kids play in the snow while parents watch	Humans playing in the snow.	 play in 	 playing in 	entailment
149	3143953179.jpg#4r1e	1503053.0	Kids play in the snow while parents watch	Humans playing in the snow.	 play in 	 playing in 	entailment
150	3264678536.jpg#2r1e	337066.0	A small dog jumps up to play with a larger dog.	A small dog is jumping and playing with a larger dog.	 play with 	 playing with 	entailment
151	4448895750.jpg#0r1c	808939.0	the shadows of what appears to be two men grabbing another man from atop a large building	A man gives a speech at a school.	 another man 	 man 	contradiction
152	3079073247.jpg#1r1n	951275.0	A person performing a wheelie trick on a motorcycle in a parking lot.	A daredevil performs a stunt on his motorbike.	 performing a 	 performs a 	neutral
153	406308903.jpg#4r1e	1266467.0	A young man does a trick on his skateboard in a somewhat crowded park area.	A young man skateboarding.	 young man 	 young 	entailment
154	406308903.jpg#4r1n	1266467.0	A young man does a trick on his skateboard in a somewhat crowded park area.	A young man does a trick on his skateboard for an audience.	 young man 	 young 	neutral
155	406308903.jpg#4r1c	1266467.0	A young man does a trick on his skateboard in a somewhat crowded park area.	A young man diving into a pool.	 young man 	 young 	contradiction
156	2689163361.jpg#0r1c	614786.0	A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside.	The girl has a red shirt.	 little girl 	 girl 	contradiction
157	2689163361.jpg#0r1e	614786.0	A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside.	A girl has a pink shirt.	 little girl 	 girl 	entailment
158	2689163361.jpg#0r1n	614786.0	A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside.	The girl is blonde.	 little girl 	 girl 	neutral
159	504370167.jpg#0r1e	1266467.0	A young man with a black shirt and gray pants smiling looking down as he plays with a yellow and blue toy in the dark.	A young man plays with a toy in the dark.	 young man 	 young 	entailment
160	504370167.jpg#0r1c	1266467.0	A young man with a black shirt and gray pants smiling looking down as he plays with a yellow and blue toy in the dark.	A young man plays his violin at the school play.	 young man 	 young 	contradiction
161	504370167.jpg#0r1n	1266467.0	A young man with a black shirt and gray pants smiling looking down as he plays with a yellow and blue toy in the dark.	A young black man plays with a toy in the dark.	 young man 	 young 	neutral
162	2481968683.jpg#0r1n	496033.0	A group of old and young people standing in a dirt field with a herd of sheep against a deep blue sky.	A group of old and young people standing in a dirt field .	 and young people 	 and young 	neutral
163	2481968683.jpg#0r1n	958599.0	A group of old and young people standing in a dirt field with a herd of sheep against a deep blue sky.	A group of old and young people standing in a dirt field .	 young people 	 young 	neutral
164	2481968683.jpg#0r1e	496033.0	A group of old and young people standing in a dirt field with a herd of sheep against a deep blue sky.	A group of old and young people standing in a dirt field with a herd of sheep .	 and young people 	 and young 	entailment
165	2481968683.jpg#0r1e	958599.0	A group of old and young people standing in a dirt field with a herd of sheep against a deep blue sky.	A group of old and young people standing in a dirt field with a herd of sheep .	 young people 	 young 	entailment
166	4038121720.jpg#0r2c	808939.0	A conductor of a train leans out of a window and looks to the right, while another man inside of the carriage looks towards some gauges.	The conductor of a train is seated comfortable while a man in a carriage steps off the train.	 another man 	 man 	contradiction
167	484443289.jpg#4r1n	208509.0	Two elderly people in a dimly lit area.	Two elderly people are in a dark alley.	 elderly people 	 elderly 	neutral
168	484443289.jpg#4r1n	1299297.0	Two elderly people in a dimly lit area.	Two elderly people are in a dark alley.	 elderly 	 elderly people 	neutral
169	484443289.jpg#4r1c	208509.0	Two elderly people in a dimly lit area.	Two elderly people are hit with spotlights.	 elderly people 	 elderly 	contradiction
170	484443289.jpg#4r1c	1299297.0	Two elderly people in a dimly lit area.	Two elderly people are hit with spotlights.	 elderly 	 elderly people 	contradiction
171	3914087743.jpg#1r3n	1393030.0	Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.	One is trying to fix his arm injury so they can co on another ride	 the other 	 another 	neutral
172	3914087743.jpg#1r5n	1393030.0	Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.	A young adult helps another after he is injured by a bull at a rodeo.	 the other 	 another 	neutral
173	3914087743.jpg#1r5e	1393030.0	Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.	A young adult helps another after an injury at a rodeo.	 the other 	 another 	entailment
174	2705103785.jpg#1r1e	1126257.0	2 people stand up wearing black at an old persons home, while some onlookers sit in wheelchairs nearby.	Some people are sitting while others are standing	 while some 	 while others are 	entailment
175	3977684660.jpg#2r1n	808939.0	A man is standing and talking to another man who is kneeling over some cables.	The man is an electrican.	 another man 	 man 	neutral
176	3977684660.jpg#2r1e	808939.0	A man is standing and talking to another man who is kneeling over some cables.	The man is near the other man.	 another man 	 man 	entailment
177	3977684660.jpg#2r1c	808939.0	A man is standing and talking to another man who is kneeling over some cables.	The man is praying in the church.	 another man 	 man 	contradiction
178	4532277525.jpg#3r1n	1176418.0	Man in black prepares to celebrate his birthday by blowing out the candles on his cake.	A man is getting ready to eat some cake.	 prepares to 	 getting ready to 	neutral
179	4532277525.jpg#3r1n	1266932.0	Man in black prepares to celebrate his birthday by blowing out the candles on his cake.	A man is getting ready to eat some cake.	 prepares to 	 is getting ready to 	neutral
